element,token,bibtex_key,number
Diffuse & Direct   Solar Radiation,Hodd07,Hodder2007-qo,6
Diffuse & Direct   Solar Radiation,Chin19,Chinazzo2019-ye,14
Near Body Heat Sources,Zhan14,Zhang2014-im,22
Task & Physical Activity,Gaes75,Gaesser1975-jn,25
Task & Physical Activity,Fang72,Fanger1972-xq,1
Diet-Induced   Thermogenesis,Swam85,Swaminathan1985-ca,29
Diet-Induced   Thermogenesis,Otsu21,Otsuka2021-ty,30
Hot & Cold Beverages,Otsu21,Otsuka2021-ty,30
Hot & Cold Beverages,Swam85,Swaminathan1985-ca,29
Clothing Insulation,Have15,Havenith2015-yn,23
Clothing Insulation,Fang72,Fanger1972-xq,1
Vascular Anatomy,John10,Johnson2010-eh,26
Vascular Anatomy,Fran99,Frank1999-ju,2
Direct Solar Gain,Hodd07,Hodder2007-qo,6
Direct Solar Gain,Chin19,Chinazzo2019-ye,14
Glazing Surface Temperature,Hodd07,Hodder2007-qo,6
Glazing Surface Temperature,Hala14,Halawa2014-ek,5
Mean Radiant Temperature,Hala14,Halawa2014-ek,5
Mean Radiant Temperature,Fang72,Fanger1972-xq,1
Radiant Asymmetry,Su23,Su2023-tg,19
Radiant Asymmetry,Hala14,Halawa2014-ek,5
Skin Temperature,Fran99,Frank1999-ju,2
Skin Temperature,John10,Johnson2010-eh,26
Perspiration & Skin Wettedness,Fuka09,Fukazawa2009-nx,27
Perspiration & Skin Wettedness,Have15,Havenith2015-yn,23
Posture,Tiku96,Tikuisis1996-fd,24
Posture,Su23,Su2023-tg,19
Air Speed & Turbulence,Schi17,Schiavon2017-fx,20
Air Speed & Turbulence,Fang72,Fanger1972-xq,1
Vertical Air   Temperature Gradient,Su23,Su2023-tg,19
Vertical Air   Temperature Gradient,Fang72,Fanger1972-xq,1
Floor Surface Temperature,Su23,Su2023-tg,19
Floor Surface Temperature,Tiku96,Tikuisis1996-fd,24
Age,Huan10,Huang2010-hy,31
Sex,Karj12,Karjalainen2012-ag,15
Base Metabolic Rate,King12,Kingma2012-lm,4
Base Metabolic Rate,Gaes75,Gaesser1975-jn,25
Hydration Status,Sawk01,Sawka2001-sz,28
Hydration Status,Otsu21,Otsuka2021-ty,30
Sleep & Circadian Phase,Krau02,Krauchi2002-aq,3
Sleep & Circadian Phase,Dear98,Dear1998-va,8
Acclimatisation,Dear98,Dear1998-va,8
Acclimatisation,Schi17,Schiavon2017-fx,20
Thermoregulation,John10,Johnson2010-eh,26
Thermoregulation,King12,Kingma2012-lm,4
Thermoregulation,Fran99,Frank1999-ju,2
Air Humidity,Fang72,Fanger1972-xq,1
Air Temp erature,Fang72,Fanger1972-xq,1
Air Temp erature,Dear98,Dear1998-va,8
Alliesthesia,Caba71,Cabanac1971-mg,32
Alliesthesia,Fran99,Frank1999-ju,2
Expectation,Dear98,Dear1998-va,8
Expectation,Shov03,Shove2003-lf,17
Perceived Control,Schi17,Schiavon2017-fx,20
Perceived Control,Stre11,Strengers2011-bm,37
Attention & Task Engagement,Chin19,Chinazzo2019-ye,14
Attention & Task Engagement,Chin22,Chinazzo2022-dt,33
Attention & Task Engagement,Schi17,Schiavon2017-fx,20
Behavioural Adjustment,Yun11,Yun2011-nu,43
Behavioural Adjustment,Stre11,Strengers2011-bm,37
Behavioural Adjustment,Dear98,Dear1998-va,8
Air-Conditioning Addiction,Hitc11,Hitchings2011-eo,35
Air-Conditioning Addiction,Hitc08,Hitchings2008-ky,39
Air-Conditioning Addiction,Osun20,Osunmuyiwa2020-fr,34
Energy Price & Tariffs,He22,He2022-rg,41
Energy Price & Tariffs,Yun11,Yun2011-nu,43
Who Pays the Energy Bill,Gill12,Gillingham2012-nf,18
Neighbour & Peer Adoption,Noon15,Noonan2015-uz,42
Income & Ability to Pay,Davi15,Davis2015-po,44
Income & Ability to Pay,Falc24,Falchetta2024-ao,46
Income & Ability to Pay,Cole23,Colelli2023-fy,45
Wellness & Productivity Cost,Porr24,Porras-Salazar2024-mo,21
Colonial Design Legacy,Wint13,Winter2013-tm,51
Colonial Design Legacy,Will25,Williamson2025-nt,49
Colonial Design Legacy,Roaf26,Roaf2026-kt,48
Standards & Regulatory Legacy,Roaf26,Roaf2026-kt,48
Standards & Regulatory Legacy,Heal08,Healy2008-hk,50
Infrastructural Lock-In,Shov14,Shove2014-fx,36
Infrastructural Lock-In,Heal08,Healy2008-hk,50
Technology Diffusion,Davi15,Davis2015-po,44
Technology Diffusion,Cole23,Colelli2023-fy,45
Technology Diffusion,Zhan26,Zhang2026-cx,47
Collective vs Individual Control,Heal08,Healy2008-hk,50
Collective vs Individual Control,Lund18,Lundgren-Kownacki2018-bv,52
Collective vs Individual Control,Stre11,Strengers2011-bm,37
Religious & Social Dress Codes,Have15,Havenith2015-yn,23
Religious & Social Dress Codes,Nahe21,Naheed2021-ce,16
Gendered Comfort Expectations,Karj12,Karjalainen2012-ag,15
Regional Comfort Conventions,Nahe21,Naheed2021-ce,16
Regional Comfort Conventions,Shov03,Shove2003-lf,17
Regional Comfort Conventions,Dear98,Dear1998-va,8
Ritual & Worship Practice,Atma19,Atmaca2019-ur,40
Generational Cohort Norms,Shov03,Shove2003-lf,17
Generational Cohort Norms,Good20,Goodchild2020-ew,38
